StartTimeUTC,TrackID,Long,Lat
,1,-96.72983423,43.54600043
,1,-96.72987205,43.5460008
,1,-96.72990986,43.54600118
,1,-96.72994768,43.54600155
,1,-96.7299855,43.54600192
,1,-96.73002331,43.54600229
,1,-96.73006113,43.54600266
,1,-96.73009894,43.54600303
,1,-96.73013676,43.5460034
,1,-96.73017458,43.54600377
,1,-96.73021239,43.54600414
,1,-96.73025021,43.54600451
,1,-96.73028802,43.54600488
,1,-96.73032584,43.54600525
,1,-96.73036366,43.54600562
,1,-96.73040147,43.546006
,1,-96.73043929,43.54600637
,1,-96.73047711,43.54600674
,1,-96.73051492,43.54600711
,1,-96.73055274,43.54600748
,1,-96.73059055,43.54600785
,1,-96.73062837,43.54600822
,1,-96.73066619,43.54600859
,1,-96.730704,43.54600896
,1,-96.73074182,43.54600933
,1,-96.73077963,43.5460097
,1,-96.73081745,43.54601016
,1,-96.73085526,43.54601096
,1,-96.73089307,43.54601177
,1,-96.73093088,43.54601257
,1,-96.73096869,43.54601338
,1,-96.73100649,43.54601418
,1,-96.7310443,43.54601499
,1,-96.73108211,43.54601579
,1,-96.73111992,43.54601659
,1,-96.73115773,43.5460174
,1,-96.73119554,43.5460182
,1,-96.73123335,43.54601901
,1,-96.73127116,43.54601981
,1,-96.73128,43.54599102
,1,-96.73128,43.54595321
,1,-96.73128,43.54591539
,1,-96.73128,43.54587757
,1,-96.73128,43.54583975
,1,-96.73128,43.54580194
,1,-96.73128,43.54576412
,1,-96.73128,43.5457263
,1,-96.73128,43.54568848
,1,-96.73128,43.54565066
,1,-96.73128,43.54561285
,1,-96.73128,43.54557503
,1,-96.73128,43.54553721
,1,-96.73128,43.54549939
,1,-96.73128,43.54546157
,1,-96.73128,43.54542376
,1,-96.73128,43.54538594
,1,-96.73128,43.54534812
,1,-96.73128,43.5453103
,1,-96.73128,43.54527249
,1,-96.73128,43.54523467
,1,-96.73128,43.54519685
,1,-96.73128,43.54515903
,1,-96.73128,43.54512121
,1,-96.73128,43.5450834
,1,-96.73128,43.54504558
,1,-96.73128007,43.54500776
,1,-96.73128121,43.54496996
,1,-96.73128236,43.54493216
,1,-96.7312835,43.54489436
,1,-96.73128465,43.54485656
,1,-96.73128579,43.54481876
,1,-96.73128694,43.54478096
,1,-96.73128809,43.54474316
,1,-96.73128923,43.54470536
,1,-96.73127755,43.54468012
,1,-96.73123973,43.54468049
,1,-96.73120192,43.54468086
,1,-96.7311641,43.54468123
,1,-96.73112629,43.54468161
,1,-96.73108847,43.54468198
,1,-96.73105065,43.54468235
,1,-96.73101284,43.54468272
,1,-96.73097502,43.54468309
,1,-96.73093721,43.54468346
,1,-96.73089939,43.54468383
,1,-96.73086157,43.5446842
,1,-96.73082376,43.54468457
,1,-96.73078594,43.54468494
,1,-96.73074813,43.54468531
,1,-96.73071031,43.54468568
,1,-96.73067249,43.54468605
,1,-96.73063468,43.54468643
,1,-96.73059686,43.5446868
,1,-96.73055905,43.54468717
,1,-96.73052123,43.54468754
,1,-96.73048341,43.54468791
,1,-96.7304456,43.54468828
,1,-96.73040778,43.54468865
,1,-96.73036997,43.54468902
,1,-96.73033215,43.54468939
,1,-96.73029433,43.54468976
,1,-96.73025652,43.54469
,1,-96.7302187,43.54469
,1,-96.73018088,43.54469
,1,-96.73014306,43.54469
,1,-96.73010525,43.54469
,1,-96.73006743,43.54469
,1,-96.73002961,43.54469
,1,-96.72999179,43.54469
,1,-96.72995397,43.54469
,1,-96.72991616,43.54469
,1,-96.72987834,43.54469
,1,-96.72984052,43.54469
,1,-96.7298027,43.54469
,1,-96.72976489,43.54469
,1,-96.72972707,43.54469
,1,-96.72968925,43.54469
,1,-96.72965143,43.54469
,1,-96.72961361,43.54469
,1,-96.7295758,43.54469
,1,-96.72953798,43.54469
,1,-96.72950016,43.54469
,1,-96.72946234,43.54469
,1,-96.72942452,43.54469
,1,-96.72938671,43.54469
,1,-96.72934889,43.54469
,1,-96.72931107,43.54469
,1,-96.72927325,43.54469
,1,-96.72923544,43.54469
,1,-96.72919762,43.54469
,1,-96.7291598,43.54469
,1,-96.72912198,43.54469
,1,-96.72908416,43.54469
,1,-96.72904635,43.54469
,1,-96.72900853,43.54469
,1,-96.72897071,43.54469
,1,-96.72893289,43.54469
,1,-96.72889507,43.54469
,1,-96.72885726,43.54469
,1,-96.72881944,43.54469
,1,-96.72878162,43.54469
,1,-96.7287438,43.54469
,1,-96.72870599,43.54469
,1,-96.72866817,43.54469
,1,-96.72863035,43.54469
,1,-96.72859253,43.54469
,1,-96.72855471,43.54469
,1,-96.7285169,43.54469
,1,-96.72847908,43.54469
,1,-96.72844126,43.54469
,1,-96.72840344,43.54469
,1,-96.72836562,43.54469
,1,-96.72832781,43.54469
,1,-96.72828999,43.54469
,1,-96.72825217,43.54469
,1,-96.72821435,43.54469
,1,-96.72817654,43.54469
,1,-96.72813872,43.54469
,1,-96.7281009,43.54469
,1,-96.72806308,43.54469
,1,-96.72802526,43.54469
,1,-96.72798745,43.54469
,1,-96.72794963,43.54469
,1,-96.72791181,43.54469
,1,-96.72787399,43.54469
,1,-96.72783617,43.54469
,1,-96.72779836,43.54469
,1,-96.72776054,43.54469
,1,-96.72772272,43.54469
,1,-96.7276849,43.54469
,1,-96.72764709,43.54469
,1,-96.72760927,43.54469
,1,-96.72757145,43.54469
,1,-96.72753363,43.54469
,1,-96.72749581,43.54469
,1,-96.727458,43.54469
,1,-96.72742018,43.54469
